name,rank,count,prop100k,source
Smith,1,2369644,792.79291552581992,census_2020_last_names_by_race_hispanic
Johnson,2,1858234,621.69454592723901,census_2020_last_names_by_race_hispanic
Williams,3,1561395,522.3834864382319,census_2020_last_names_by_race_hispanic
Brown,4,1386083,463.7307472053925,census_2020_last_names_by_race_hispanic
Jones,5,1383250,462.78293296423021,census_2020_last_names_by_race_hispanic
Garcia,6,1149510,384.58240323275783,census_2020_last_names_by_race_hispanic
Miller,7,1129186,377.782764462062,census_2020_last_names_by_race_hispanic
Rodriguez,8,1085838,363.28016942997562,census_2020_last_names_by_race_hispanic
Davis,9,1074448,359.46950786737841,census_2020_last_names_by_race_hispanic
Martinez,10,1039848,347.89366150514286,census_2020_last_names_by_race_hispanic
Hernandez,11,1013895,339.21077304736536,census_2020_last_names_by_race_hispanic
Lopez,12,878958,294.06597592074741,census_2020_last_names_by_race_hispanic
Gonzalez,13,828405,277.15286143664065,census_2020_last_names_by_race_hispanic
Wilson,14,777275,260.046704659152,census_2020_last_names_by_race_hispanic
Anderson,15,756560,253.11625213332226,census_2020_last_names_by_race_hispanic
Thomas,16,734345,245.68395655710654,census_2020_last_names_by_race_hispanic
Taylor,17,723758,242.14194830748264,census_2020_last_names_by_race_hispanic
Moore,18,696384,232.98364719997289,census_2020_last_names_by_race_hispanic
Lee,19,695657,232.7404206015525,census_2020_last_names_by_race_hispanic
Jackson,20,686937,229.82303966864225,census_2020_last_names_by_race_hispanic
Perez,21,680712,227.74039100954064,census_2020_last_names_by_race_hispanic
Martin,22,678691,227.064241139654,census_2020_last_names_by_race_hispanic
Thompson,23,640099,214.15282313932462,census_2020_last_names_by_race_hispanic
White,24,636798,213.048433866442,census_2020_last_names_by_race_hispanic
Sanchez,25,607848,203.36286299399345,census_2020_last_names_by_race_hispanic
Harris,26,603371,201.86502876960822,census_2020_last_names_by_race_hispanic
Ramirez,27,544204,182.06999692815177,census_2020_last_names_by_race_hispanic
Clark,28,539661,180.55008160954958,census_2020_last_names_by_race_hispanic
Nguyen,29,531404,177.78760289819178,census_2020_last_names_by_race_hispanic
Lewis,30,515459,172.45301127258929,census_2020_last_names_by_race_hispanic
Robinson,31,510138,170.67280669185359,census_2020_last_names_by_race_hispanic
Walker,32,504833,168.89795510365533,census_2020_last_names_by_race_hispanic
Hall,33,470080,157.2709207502804,census_2020_last_names_by_race_hispanic
Young,34,468920,156.88282879131526,census_2020_last_names_by_race_hispanic
Allen,35,465583,155.76639528522335,census_2020_last_names_by_race_hispanic
King,36,453539,151.73693015265789,census_2020_last_names_by_race_hispanic
Wright,37,443210,148.28123890770033,census_2020_last_names_by_race_hispanic
Torres,38,435998,145.86837752144476,census_2020_last_names_by_race_hispanic
Flores,39,426965,142.84627867202065,census_2020_last_names_by_race_hispanic
Scott,40,421499,141.01756259641431,census_2020_last_names_by_race_hispanic
Hill,41,419076,140.2069187890242,census_2020_last_names_by_race_hispanic
Green,42,415664,139.06539313041301,census_2020_last_names_by_race_hispanic
Adams,43,413470,138.33136402871517,census_2020_last_names_by_race_hispanic
Nelson,44,410801,137.43841796106182,census_2020_last_names_by_race_hispanic
Baker,45,401148,134.2088906508115,census_2020_last_names_by_race_hispanic
Rivera,46,398449,133.30590772215044,census_2020_last_names_by_race_hispanic
Mitchell,47,372104,124.49187094720544,census_2020_last_names_by_race_hispanic
Campbell,48,370555,123.97363435717357,census_2020_last_names_by_race_hispanic
Gomez,49,368213,123.19009007450433,census_2020_last_names_by_race_hispanic
Carter,50,364355,121.8993497489117,census_2020_last_names_by_race_hispanic
Roberts,51,362049,121.12784969945173,census_2020_last_names_by_race_hispanic
Diaz,52,356910,119.40853540882951,census_2020_last_names_by_race_hispanic
Phillips,53,343656,114.97425021561938,census_2020_last_names_by_race_hispanic
Evans,54,343493,114.9197166041441,census_2020_last_names_by_race_hispanic
Cruz,55,342580,114.61426146747587,census_2020_last_names_by_race_hispanic
Reyes,56,335828,112.35529861667197,census_2020_last_names_by_race_hispanic
Turner,57,333512,111.58045294687609,census_2020_last_names_by_race_hispanic
Parker,58,323880,108.35795143933122,census_2020_last_names_by_race_hispanic
Edwards,59,320927,107.36998975413809,census_2020_last_names_by_race_hispanic
Collins,60,317373,106.18095628675702,census_2020_last_names_by_race_hispanic
